"BlockGroup","NAME","TotHH","TotPerson","TotMale","MaleLT5Yrs","Male5to9Yrs","Male10to14Yrs","Male15to17Yrs","Male18to19Yrs","Male20Yrs","Male21Yrs","Male22to24Yrs","Male25to29Yrs","Male30to34Yrs","Male35to39Yrs","Male40to44Yrs","Male45to49Yrs","Male50to54Yrs","Male55to59Yrs","Male60to61Yrs","Male62to64Yrs","Male65to66Yrs","Male67to69Yrs","Male70to74Yrs","Male75to79Yrs","Male80to84Yrs","MaleGE85Yrs","TotFemale","FemaleLT5Yrs","Female5to9Yrs","Female10to14Yrs","Female15to17Yrs","Female18to19Yrs","Female20Yrs","Female21Yrs","Female22to24Yrs","Female25to29Yrs","Female30to34Yrs","Female35to39Yrs","Female40to44Yrs","Female45to49Yrs","Female50to54Yrs","Female55to59Yrs","Female60to61Yrs","Female62to64Yrs","Female65to66Yrs","Female67to69Yrs","Female70to74Yrs","Female75to79Yrs","Female80to84Yrs","FemaleGE85Yrs","Tract","Age1_Female","Age2_Female","Age3_Female","Age1_Male","Age2_Male","Age3_Male","Age1_Total","Age2_Total","Age3_Total","Target_Total","Tract_Name"
"240338063002","Block Group 2, Census Tract 8063, Prince George's County, Maryland",318,913,477,36,47,34,11,17,8,7,21,39,49,39,39,36,44,21,6,4,2,8,6,1,2,0,436,43,29,34,16,11,9,8,28,31,29,36,31,35,40,21,6,10,2,4,5,5,1,2,"24033806300",183,112,19,219,111,19,402,223,38,663," Census Tract 8063, Prince George's County, Maryland"
"240338064001","Block Group 1, Census Tract 8064, Prince George's County, Maryland",434,1116,606,29,22,30,18,12,34,33,56,78,42,26,22,30,30,40,16,25,11,11,17,10,6,8,510,19,23,25,10,14,13,14,29,41,42,28,17,32,36,43,19,22,18,9,8,21,11,16,"24033806400",198,152,83,303,141,63,501,293,146,940," Census Tract 8064, Prince George's County, Maryland"
"240338064002","Block Group 2, Census Tract 8064, Prince George's County, Maryland",552,1469,728,41,52,53,18,13,11,11,28,43,31,43,42,64,54,62,23,37,26,18,19,14,17,8,741,47,50,48,24,5,3,7,26,35,31,52,52,68,54,78,23,35,15,23,16,15,20,14,"24033806400",211,258,103,222,240,102,433,498,205,1136," Census Tract 8064, Prince George's County, Maryland"
"240338064003","Block Group 3, Census Tract 8064, Prince George's County, Maryland",274,826,415,29,27,39,22,11,8,1,16,17,19,30,39,37,36,38,7,14,4,10,3,5,2,1,411,34,33,12,15,9,4,7,17,20,23,29,35,35,37,38,17,11,7,9,5,3,7,4,"24033806400",144,138,35,141,132,25,285,270,60,615," Census Tract 8064, Prince George's County, Maryland"
"240338065011","Block Group 1, Census Tract 8065.01, Prince George's County, Maryland",319,1049,508,26,27,29,19,9,6,7,31,33,46,39,29,42,43,35,9,21,7,7,20,15,7,1,541,23,28,18,14,8,12,6,24,37,46,39,28,38,45,28,10,10,8,12,27,17,19,44,"24033806501",200,131,127,200,150,57,400,281,184,865," Census Tract 8065.01, Prince George's County, Maryland"
"240338065012","Block Group 2, Census Tract 8065.01, Prince George's County, Maryland",309,960,517,61,34,47,19,11,9,10,18,41,48,54,27,32,31,31,9,13,3,6,3,4,3,3,443,26,35,37,13,11,3,7,15,34,43,37,30,30,32,30,10,13,5,5,6,5,7,9,"24033806501",180,115,37,218,116,22,398,231,59,688," Census Tract 8065.01, Prince George's County, Maryland"
"240338065013","Block Group 3, Census Tract 8065.01, Prince George's County, Maryland",872,3142,1748,193,162,107,72,47,35,38,151,242,189,145,105,78,77,45,13,11,3,7,9,9,6,4,1394,182,118,112,67,44,18,29,83,162,132,122,104,68,59,39,9,8,6,14,9,8,0,1,"24033806501",694,183,38,952,224,38,1646,407,76,2129," Census Tract 8065.01, Prince George's County, Maryland"
"240338066011","Block Group 1, Census Tract 8066.01, Prince George's County, Maryland",375,1379,702,57,53,51,40,25,5,11,33,85,61,47,60,39,43,27,12,8,9,11,9,8,6,2,677,81,58,60,26,19,8,9,24,55,50,48,52,33,44,33,14,11,9,10,14,8,4,7,"24033806601",265,135,52,327,129,45,592,264,97,953," Census Tract 8066.01, Prince George's County, Maryland"
"240338066012","Block Group 2, Census Tract 8066.01, Prince George's County, Maryland",431,1337,659,58,52,54,35,23,10,10,44,68,54,50,38,30,40,28,8,14,6,12,12,9,2,2,678,49,45,51,28,10,12,7,33,57,33,58,56,49,49,38,15,19,14,19,18,6,8,4,"24033806601",266,170,69,297,120,43,563,290,112,965," Census Tract 8066.01, Prince George's County, Maryland"
"240338066013","Block Group 3, Census Tract 8066.01, Prince George's County, Maryland",538,1920,1164,141,91,53,29,40,19,33,123,166,146,112,73,60,28,25,7,5,2,3,2,4,2,0,756,112,69,46,22,22,9,20,72,96,76,61,47,34,24,16,2,6,7,3,6,3,2,1,"24033806601",403,82,22,712,125,13,1115,207,35,1357," Census Tract 8066.01, Prince George's County, Maryland"
"240338066021","Block Group 1, Census Tract 8066.02, Prince George's County, Maryland",821,2463,1221,128,79,105,59,44,23,13,63,126,107,97,102,61,82,45,19,18,9,16,10,8,3,4,1242,113,103,70,55,40,27,25,79,115,106,102,92,85,76,37,28,23,12,21,14,12,5,2,"24033806602",586,249,66,575,225,50,1161,474,116,1751," Census Tract 8066.02, Prince George's County, Maryland"
"240338066022","Block Group 2, Census Tract 8066.02, Prince George's County, Maryland",243,796,419,34,29,26,17,10,13,12,14,45,36,36,20,35,18,21,14,7,7,8,10,2,3,2,377,24,22,26,19,8,3,3,20,39,31,23,24,23,27,31,8,9,8,6,8,5,4,6,"24033806602",151,98,37,186,95,32,337,193,69,599," Census Tract 8066.02, Prince George's County, Maryland"
"240338066023","Block Group 3, Census Tract 8066.02, Prince George's County, Maryland",376,1319,700,55,50,52,27,14,11,18,43,69,63,44,69,48,33,28,19,13,10,11,17,3,1,2,619,56,43,48,20,20,11,12,38,45,52,51,46,31,41,32,11,16,6,6,15,8,3,8,"24033806602",275,131,46,331,141,44,606,272,90,968," Census Tract 8066.02, Prince George's County, Maryland"
"240338067061","Block Group 1, Census Tract 8067.06, Prince George's County, Maryland",825,1403,668,40,28,13,11,5,12,13,40,91,81,49,43,29,53,32,15,22,11,14,21,20,13,12,735,30,22,13,7,8,7,9,59,105,64,63,43,35,44,40,26,27,11,16,27,27,21,31,"24033806706",358,172,133,334,151,91,692,323,224,1239," Census Tract 8067.06, Prince George's County, Maryland"
"240338067062","Block Group 2, Census Tract 8067.06, Prince George's County, Maryland",290,927,463,36,25,24,29,12,7,7,17,22,30,25,21,26,41,40,9,22,13,11,20,13,5,8,464,22,24,24,17,13,6,8,21,26,25,26,27,40,37,39,13,22,15,20,15,14,6,4,"24033806706",152,151,74,141,138,70,293,289,144,726," Census Tract 8067.06, Prince George's County, Maryland"
"240338067063","Block Group 3, Census Tract 8067.06, Prince George's County, Maryland",416,1425,713,55,49,48,33,27,11,14,36,48,40,37,52,46,59,50,18,19,12,17,15,13,10,4,712,38,44,57,29,19,8,7,32,45,36,35,55,55,53,59,19,28,13,21,25,17,9,8,"24033806706",237,214,93,265,192,71,502,406,164,1072," Census Tract 8067.06, Prince George's County, Maryland"
"240338067081","Block Group 1, Census Tract 8067.08, Prince George's County, Maryland",635,1020,440,25,14,22,10,3,1,2,13,33,36,24,20,33,41,50,13,27,5,14,21,14,7,12,580,14,13,15,9,4,3,4,11,25,38,32,36,44,59,51,23,33,18,24,28,32,26,38,"24033806708",153,210,166,132,164,73,285,374,239,898," Census Tract 8067.08, Prince George's County, Maryland"
"240338067082","Block Group 2, Census Tract 8067.08, Prince George's County, Maryland",917,1704,827,39,39,56,34,21,10,12,39,102,70,62,59,62,63,61,12,31,12,11,10,7,13,2,877,48,53,39,32,15,9,4,38,96,81,70,72,56,72,53,15,25,10,18,23,18,18,12,"24033806708",385,221,99,375,229,55,760,450,154,1364," Census Tract 8067.08, Prince George's County, Maryland"
"240338067083","Block Group 3, Census Tract 8067.08, Prince George's County, Maryland",747,1508,724,40,47,42,22,7,5,2,39,73,59,57,53,44,62,53,22,21,14,11,21,12,8,10,784,42,31,41,13,14,10,11,24,73,69,66,57,54,68,64,23,40,10,11,15,19,14,15,"24033806708",324,249,84,295,202,76,619,451,160,1230," Census Tract 8067.08, Prince George's County, Maryland"
"240338067101","Block Group 1, Census Tract 8067.10, Prince George's County, Maryland",469,1048,456,31,21,30,29,9,10,11,27,31,29,30,40,34,38,30,6,11,6,7,9,9,7,1,592,27,30,31,24,13,6,8,26,40,43,52,47,62,59,35,13,26,10,12,10,11,5,2,"24033806710",235,195,50,187,119,39,422,314,89,825," Census Tract 8067.10, Prince George's County, Maryland"
"240338067102","Block Group 2, Census Tract 8067.10, Prince George's County, Maryland",1230,2312,1024,64,51,48,33,23,13,15,50,101,109,114,94,67,70,64,21,28,14,17,14,8,5,1,1288,66,52,58,34,31,10,10,45,125,152,98,106,128,104,119,29,29,17,15,28,22,6,4,"24033806710",577,409,92,519,250,59,1096,659,151,1906," Census Tract 8067.10, Prince George's County, Maryland"
"240338067103","Block Group 3, Census Tract 8067.10, Prince George's County, Maryland",708,1972,944,58,36,79,52,26,7,12,53,64,69,41,54,61,98,94,36,32,11,21,23,9,4,4,1028,53,45,52,37,29,17,12,42,69,70,62,81,109,118,97,34,33,11,16,19,8,10,4,"24033806710",382,391,68,326,321,72,708,712,140,1560," Census Tract 8067.10, Prince George's County, Maryland"
"240338067111","Block Group 1, Census Tract 8067.11, Prince George's County, Maryland",235,618,295,16,21,11,22,9,4,6,20,28,26,15,20,23,22,15,10,8,1,4,8,5,0,1,323,24,16,21,6,9,4,5,13,14,35,15,21,25,34,29,8,14,6,10,7,4,1,2,"24033806711",116,110,30,128,78,19,244,188,49,481," Census Tract 8067.11, Prince George's County, Maryland"
"240338067112","Block Group 2, Census Tract 8067.11, Prince George's County, Maryland",335,1089,539,36,46,44,25,14,5,5,30,38,34,33,23,30,35,29,14,17,15,16,27,12,9,2,550,39,35,53,26,7,7,10,15,23,35,33,30,46,38,39,20,20,13,15,23,14,7,2,"24033806711",160,163,74,182,125,81,342,288,155,785," Census Tract 8067.11, Prince George's County, Maryland"
"240338067113","Block Group 3, Census Tract 8067.11, Prince George's County, Maryland",1522,3439,1522,142,112,132,84,56,24,15,67,139,120,133,118,82,87,81,11,25,15,15,27,20,7,10,1917,137,145,98,55,43,15,28,85,198,205,163,137,138,119,108,47,49,19,14,24,30,23,37,"24033806711",874,461,147,672,286,94,1546,747,241,2534," Census Tract 8067.11, Prince George's County, Maryland"
"240338067121","Block Group 1, Census Tract 8067.12, Prince George's County, Maryland",841,1721,735,49,45,57,58,30,13,9,37,70,53,64,50,51,36,47,13,11,5,13,5,6,7,6,986,47,53,59,59,30,8,12,34,112,84,89,89,95,62,54,24,35,9,7,3,12,6,3,"24033806712",458,270,40,326,158,42,784,428,82,1294," Census Tract 8067.12, Prince George's County, Maryland"
